GWNum;Messstelle;Ca;Cl;DOC;LF_mS_m;K;Mg;Na;NO3;pH;SO4;SiO2;U;PSM;Rechtswert;Hochwert;Aquifer_kz;Aquifer;Aquifer2;landuse;landuse_num
101/670-2;GWM 0A Haisterkirch, Waldsee;123.5;18.8;0.8;63.3;0.6;14;4.6;59.6;7.19;11.5;8.7;0.0006;0;3560650;5312480;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;agr;1
101/713-8;GWM Gussenstadt, Gerstetten;110;9.1;0.2;44.9;0.5;1.1;4;14.8;7.18;6.3;5.4;0.00025;0;3570660;5387820;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;no_agr;0
101/714-1;BR Westerstetten, Westerstetten;129.8;24.5;0.79;62.1;0.6;3;4.5;37.5;7.06;10;4.5;0.0005;0.00027;3570790;5375550;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;agr;1
101/715-3;GWM G 6 Blautal, Blaustein;152.6;132;2.9;101;0.7;3.4;22;0.9;6.94;3.5;5.2;0.00025;0;3565000;5364960;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
101/763-1;GWM 3 Sportplatz, Steinheim im Albuch;99;8.8;0.6;49.2;1.5;14;3.8;1;7.42;40;12;0.0007;0;3577837;5394918;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;agr;1
101/813-1;GWM 7915 H?lltal, Giengen;111;20;1.1;58.5;1.5;14;5.1;17;7.3;25;7.1;0.0011;0.00003;3593080;5389560;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;agr;1
101/862-3;TB Eglingen, Dischingen-Eglingen;109;25;0.4;64.6;2.1;23;5;51;7.19;16;11;0.0008;0.00028;3605940;5399140;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;agr;1
102/067-1;GWM 3313, Kappel-Grafenhausen;91.6;16.8;0.68;45.2;1.7;7.2;7.9;3.5;7.3;31.3;13;0.0007;0;3406100;5351700;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
102/114-6;GWM 1088, Appenweier;35.2;1.8;6.86;19.9;0.92;4.3;2.9;0.5;6.16;20.1;16.2;0.00025;0;3421810;5384330;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
102/660-8;QF 3 Falzenbergquelle, Unterrot;72.8;11.4;0.72;59;2.06;38.6;5.4;63.2;7.39;19.4;10.3;0.0019;0;3558760;5427620;51;H?HERER KEUPER (KEUPERBERGLAND);Upper Keuper;no_agr;0
102/762-4;BBR I Seegartenhof, K?nigsbronn;108;3.8;0.2;51.4;0.5;10;5;8.7;6.94;8;8.6;0.0008;0;3580761;5402650;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;agr;1
1020/306-1;BR Zehntmaiershart, Schwetzingen;187;104;1;107.2;1.8;12.6;52;45;7.19;162;11.7;0.0018;0;3466810;5469280;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
1025/304-3;BR 7 Hofgut Freudenberg, Heddesheim;187;27.8;2.1;100;1.62;23.2;11.9;0.5;6.98;171;14.3;0.0005;0;3472603;5487771;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
1027/304-4;BR neu Firma Braas, Hemsbach;227;94.1;10.8;132.6;2.9;25.1;41.2;0.5;6.75;117;14;0.007;0;3474490;5494850;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
1029/304-5;BR 1 AEG Sensorsysteme, Weinheim;156;39.5;0.86;86.9;2.42;23;14.9;61.8;7.11;90.8;12.8;0.0152;0;3474580;5487820;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
103/112-9;GWM 3455, Lichtenau;124;23;0.65;70;1.3;12.5;5.3;33;7.4;33.7;14.4;0.0008;0.00011;3425146;5398614;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
103/460-4;SBR Kronengarten, Groˇsachsenheim;183.6;78;0.87;117.9;4.97;45.6;35.1;77;6.96;116;10.5;0.001;0;3505085;5424705;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
103/660-3;QF Kohlbrunnenquelle, Unterrot;88.4;6.1;0.46;51.6;0.9;21.9;3.8;32.2;7.25;15.2;9.2;0.0014;0.00004;3555850;5426320;1;QUART?R M?CHTIGER L?SS (VORBERGZONE);Quaternary URG;no_agr;0
103/714-0;GWM Hinterdenkental, Westerstetten;122.9;14.6;0.86;53.9;0.6;4.4;2.3;27.2;7.13;7.9;5.1;0.0009;0.00008;3567920;5374380;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;agr;1
103/764-4;GWM B 7101 Simont, Langenau;130;31;0.3;62.4;1.2;5.3;6.3;36;7.13;15;5.5;0.0005;0.00021;3581520;5375060;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;agr;1
104/071-8;GWM 3648 Wettelbrunn, Staufen im Breisgau;107;41.1;1.75;63.1;2.1;12.2;8.7;70.2;6.39;55.9;11.8;0.0005;0.00038;3402256;5305235;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
104/457-5;BR H2, Haˇmersheim;177;38.4;0.8;99.4;1.4;35;17.3;26.4;NA;222;10.4;0.0008;0.00002;3510760;5462060;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
104/464-0;HBR Unteres Neckartal Pfrondorf,TÅbingen;143;49.3;0.8;84;4.82;26.8;28;17.1;7.14;159;7.4;0.0013;0;3508103;5377362;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
104/514-7;QF B Glems, Metzingen;102;6.1;0.7;39.7;0.5;3.5;3.5;11.7;7.36;11.9;4.5;0.0005;0;3523250;5373720;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;agr;1
104/568-6;HBR PW Roden, Altheim;130;29;1.1;70;1.8;13.9;9.9;56.7;7.17;39.9;9.6;0.0015;0;3533770;5332940;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;agr;1
104/760-3;GWM 15 Firma Varta, Ellwangen;6;9.7;0.25;55.7;1.57;4.9;144;0.5;8.7;40;7.9;0.0047;0;3582455;5427000;51;H?HERER KEUPER (KEUPERBERGLAND);Upper Keuper;no_agr;0
104/813-5;GWM 1 Eifeld, Herbrechtingen;117;15;0.4;55.2;1.1;5.3;1.4;10;7.1;24;6.9;0.00025;0;3588940;5389050;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;no_agr;0
105/019-0;TB 49 Wasser-und Bodenverband GÅndlingen, Breisach am Rhein;108;33.9;0.59;66;6.86;13;12.1;74.4;7.15;40.4;11;0.0009;0.00013;3398545;5321535;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
105/067-5;GWM 1138 A, Mahlberg;135;28;1.38;70.1;6.4;15.5;22.5;11;7.02;39.2;9.9;0.0037;0;3411050;5350920;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
105/116-3;SBR1 3220, Friesenheim;172;37.3;1.2;86.9;2.1;25.1;16.1;28.3;7.06;106.1;9.4;0.0297;0;3416103;5360996;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
105/172-0;QF Stubenrainbrunnen Lindau, Todtmoos;1.9;0.7;0.6;2.3;0.5;0.5;1.4;2.7;5.36;4;7;0.00025;0;3426882;5288453;91;KRISTALLIN (SCHWARZWALD);Crystalline Basement;no_agr;0
105/568-1;BR, Langenenslingen;128;18;0.6;57.2;2.2;5.3;12.2;26;7.1;15;6.6;0.0005;0;3528840;5333980;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;agr;1
1050/306-0;BR 1964 Firma Pfaudler, Schwetzingen;162;43;2.1;99.8;5.8;24;30;46;7.04;128;11.2;0.0015;0;3469720;5471700;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
1052/254-0;FB Kirchwaldstraˇe, MA-Waldhof;182;55.8;1;99.8;2.42;19.9;39.9;17.6;7.24;208;11.7;0.0049;0;3463110;5488955;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
1053/254-5;FB Bezirkssportanlage, MA-Sch?nau;188;14.6;3.9;92;1.92;19.7;16.4;1.5;7.34;266;11.1;0.0022;0;3462045;5490710;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
106/116-8;GWM 1126 2, Friesenheim;141;20;1.7;80;0.99;37.4;7.8;65.6;7.03;59.5;8.7;0.0039;0;3415525;5360375;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
106/458-9;QF Schulbrunnen, Heilbronn-Kirchhausen;116;51.1;0.8;83.4;0.8;58.9;6.6;47.3;7.14;61.5;13.6;0.0014;0.00002;3508640;5448940;71;LETTENKEUPER;Lettenkeuper;agr;1
106/715-6;GWM H3 Blautal, Blaustein;119.4;37.8;0.98;62.1;1.2;4;9.9;35.5;7.17;16.3;4.7;0.0005;0.00012;3566410;5364620;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
107/022-0;GWM 3218, Auggen;162.7;34.5;0.46;87.2;2.12;28.9;10.1;33.1;7.09;128.4;9.9;0.0021;0.00018;3393560;5294872;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
107/303-6;GWM 17/O, Laudenbach;112;23.6;2.1;64.6;1.55;11.9;17.7;0.5;7.18;46.1;17.1;0.0005;0;3472680;5496930;97;NOCH NICHT BEARBEITET;multiple or undifferentiated;agr;1
107/305-0;GWM 105A, Ladenburg;170;88.5;6;107.4;7.86;22;40.4;15.7;7.04;20.7;13.4;0.0005;0;3473690;5481430;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
107/458-4;QF C Altnachtquelle, Heilbronn-Biberach;170;95.2;1;102.7;4.3;36;19.6;69.2;NA;89.6;13.2;0.0015;0;3511025;5450400;71;LETTENKEUPER;Lettenkeuper;no_agr;0
107/763-9;TB Rohrgasse, Dettingen;120;16.8;0;53;0.5;3.4;5;18.7;6.98;9.6;6.2;0.0009;0.00009;3582300;5385960;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;agr;1
1078/511-6;GWM P835, Glockenstraˇe, Bad Cannstatt;212.2;43.3;0.45;129.2;5.16;62.2;15.6;0.5;7;413;8.8;0.0009;0;3515258;5407958;71;LETTENKEUPER;Lettenkeuper;no_agr;0
108/114-3;GWM 1089, Legelshurst;104;13.7;3.1;50.7;0.96;14.2;8.6;0.6;7.07;21.1;13.9;0.0005;0;3418790;5383800;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
108/115-5;GWM 3596, Schutterwald;104;49.4;1.08;55.6;2.5;9.2;18.8;4.5;7.35;30.5;16.9;0.001;0;3415863;5372138;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
108/258-7;GWM 354 A Friedhof, Neudorf;132;45.6;1.54;77.2;15.2;16.9;20.6;9.1;7.14;127;13;0.0017;0;3463165;5448960;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
108/372-6;GWM DP 14 T MÅnchried, Rielasingen-Worblingen;163;17;0.5;60.4;1.6;40.4;7.4;1.8;7.35;67;20.1;0.0042;0;3487360;5289930;97;NOCH NICHT BEARBEITET;multiple or undifferentiated;no_agr;0
108/458-0;SBR Schloˇstraˇe, Heilbronn-Kirchhausen;138;64.7;1.1;82.8;0.8;33.6;10.7;43.3;7.23;59.3;12.3;0.0015;0;3507832;5449908;71;LETTENKEUPER;Lettenkeuper;no_agr;0
108/513-6;QF Rohrbach, Neuhausen auf den Fildern;125;27.6;0.61;58.1;1.34;14.6;11.5;13.4;7.03;50.2;9.4;0.0006;0.0001;3519815;5393150;42;LIAS UND DOGGER (ALBVORLAND);Middle/Lower Jurassic;agr;1
108/564-7;QF Pommerquelle Bissinger Tal, Ochsenwang;88;1.4;1.2;43.8;0.5;5.2;1.8;9.1;6.91;14;4.9;0.0005;0;3535740;5382910;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;agr;1
109/121-1;GWM Geschwend, Todtnau;11.9;6.8;0.2;8.6;0.6;1.2;3.4;5.1;6.48;6.1;8.9;0.00025;0;3420150;5296730;91;KRISTALLIN (SCHWARZWALD);Crystalline Basement;no_agr;0
109/221-6;QF Kirchwald Saig, Lenzkirch;4;1.5;1.26;4.4;0.79;0.5;4.4;5.5;5.48;7.7;13.1;0.00025;0;3439765;5306065;91;KRISTALLIN (SCHWARZWALD);Crystalline Basement;no_agr;0
109/813-8;TB I Bernauer Feld, Bernauer Straˇe, Giengen an der Brenz;116;18;0.4;55.9;1.3;5.6;3.5;18;7.01;19;5.4;0.00025;0.00002;3589713;5388305;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;no_agr;0
1094/304-2;BR Gut Rotthof, Leutershausen;160;40.5;1;89.2;2.07;19;20.5;86.4;7.12;93.9;7.7;0.0051;0;3473620;5485020;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
11/067-3;TB Firma Greschbach, Herbolzheim;137;27;0.39;76.8;4.75;18.7;16.4;5;6.78;72.5;11.5;0.001;0;3408490;5344020;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
11/266-0;QF 2 Kuhbergquelle, Schenkenzell;9;1.6;0.4;8.4;1.8;4.2;0.8;3.5;6.65;6;7;0.00025;0;3451270;5353525;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
11/311-2;QF 1 Fingerlesbrunnen, Dennach;4.6;6.5;0.2;4.1;2.3;0.8;1.6;5.3;5.72;1;8;0.00025;0;3468445;5409640;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
11/312-5;QF Blindbach, Wildbad;14.8;19.4;0.65;16.2;1.9;5.3;9.8;7.4;6.63;10.7;4.7;0.00025;0;3470900;5402160;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
11/314-0;QF Haizmann ZV Egenhausen, Spielberg;28.8;9.8;0.61;22.5;1.3;11.5;5;7.9;6.91;5.4;4;0.0006;0;3468890;5381570;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
11/320-3;GWM 3, Unterbaldingen;123;17;6.5;62.4;3.6;16.7;12;1.4;6.8;12;7.7;0.0032;0;3469700;5314450;42;LIAS UND DOGGER (ALBVORLAND);Middle/Lower Jurassic;agr;1
11/355-5;BR NB 2, HD-Handschuhsheim;128;56.3;0.54;86.9;10;23.7;33.4;26.5;7.16;117;10.8;0.0008;0;3477002;5476427;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
11/361-0;GWM 16/1993 Firma Fahrl?nder, Pforzheim;100;77;0;77.3;2;26;17;28;7.01;53;8.8;0.0023;0;3476312;5417556;75;(TIEF) MUSCHELKALK;Middle Triassic;no_agr;0
11/366-4;QF Osterbachquelle, Empfingen;78;25;0.5;56;0.8;29;6;43;7.37;19;10;0.0006;0.00001;3479180;5361990;71;LETTENKEUPER;Lettenkeuper;agr;1
11/406-7;QF Hetzenlochquelle, Eschelbronn;109;23.9;0.8;61.8;1;22.4;5.8;28.9;NA;38.1;11.2;0.0006;0.00005;3491420;5465970;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
11/420-8;QF 1 Groˇe Zeilenquelle, Liptingen;147;16;1.3;60.9;1.2;1.7;4.8;60;7.13;14;5.5;0.0005;0.00009;3489520;5308240;22;TERTI?R (ALBS?DRAND UND ALPENVORLAND);Tertiary AF/MB;agr;1
11/471-9;GWM P12/89, Stockach;115;28;0.8;69.8;2.5;28.6;18.4;18;7.11;29;12.6;0.0127;0;3500718;5300523;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
11/508-3;TB III Buchern, Flein;127.9;25.8;0.77;94.2;2.04;67.3;5.4;84.2;7.02;79.5;8.7;0.0033;0;3516400;5441000;61;GIPSKEUPER (FUˇ DES KEUPERBERGLANDES);Gipskeuper;agr;1
11/521-5;QF Schwende, Herdwangen;105;2.5;0.7;56;0.5;21;3.4;0;7.23;11;10;0.0012;0;3514060;5301080;7;QUART?R MOR?NEN (ALPENVORLAND);Quaternary AF/MB;no_agr;0
11/604-0;QF I Dittwar Heidenkessel, Dittigheim;155;34;0.78;85.7;2;26;6.5;39;7.19;110;9.2;0.0007;0.00005;3546810;5495760;72;MUSCHELKALK;Middle Triassic;agr;1
11/607-9;BBR Kiliansbusch, Weinsbach;77;18;0;61.1;3.3;27;7;5;7.32;29;0;0.0005;0;3539470;5454100;71;LETTENKEUPER;Lettenkeuper;agr;1
11/657-7;BBR BÅhlingsweiler;78;7.4;0;58.2;3.8;38.1;8;2.6;7.71;12.7;16.9;0.0005;0;3553185;5456390;71;LETTENKEUPER;Lettenkeuper;agr;1
11/658-0;QF Ebertsbrunnen, RÅckertsbronn;70;23;0.7;60;1.6;37;7.1;34;7.38;25;7.8;0.0005;0;3556070;5450440;71;LETTENKEUPER;Lettenkeuper;agr;1
11/671-8;GWM 6/05 B?sch, Bad Waldsee;137.5;5.7;22.6;66.9;1;15.9;3.3;0.5;6.96;68.6;10.3;0.0042;0;3554357;5305378;6;QUART?R EISZEITL.KIESE+SANDE, MOR?NEN?BERD. (ALPENV);Quaternary AF/MB;no_agr;0
11/721-4;TB 3 Haidgau, Bad Wurzach;88.5;6.6;0.5;46.1;1.1;13.2;3.7;16.1;7.39;7.3;7.8;0.0005;0;3562900;5305900;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;agr;1
110/022-3;GWM 3618 Steinenstadt, Neuburg am Rhein;153.9;44.2;0.35;81.9;3.66;20.1;17.2;51.7;7.02;51.1;7.6;0.0016;0;3392407;5293126;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
110/067-5;GWM 10, Kahlenberg, Ringsheim;143;34.5;0.8;80;11.1;24;16.1;35.5;7.09;74.5;12.3;0.0014;0;3409900;5346975;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
110/070-3;GWM 3546 Wolfenweiler 1, Schallstadt;88.4;9.5;4.14;48.5;2.5;14.6;7.4;7.2;6.67;24.9;10.9;0.0072;0;3407804;5315498;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
110/116-6;GWM 1099A Alten Rheinstraˇe, Lahr-Dinglingen;138;42.4;1.36;83.5;21.3;19.5;32.1;5.6;6.85;88.2;12.2;0.0062;0;3414000;5356767;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
110/210-0;GWM 3436 3, Au am Rhein;116;15.8;0.83;60;0.53;13;5.1;0.5;7.07;39.6;8.5;0.0005;0;3445885;5424043;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
110/306-5;BR 3112 Insultheimerhof, Hockenheim;161;44;1.7;85;4.6;17.9;17.5;1.1;7.2;169;16.4;0.0018;0;3463720;5464860;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
110/308-6;SBR 410 Vorkl?rbecken, Bruchsal;244;60;3.97;128.5;9.06;30.9;25.1;0.5;6.72;319;15.9;0.0009;0.00282;3470486;5444924;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
110/371-3;TB Br?chle, Engen;120;48.5;0.71;69;4.14;12;22;25;7.19;21.4;9;0.0006;0.00006;3483650;5298670;10;(TIEF) QUART?R UNTERES KIESLAGER (SINGEN UND KONST);Quaternary AF/MB;agr;1
110/761-0;SBR R?B-K5 Hofherrenstraˇe, Aalen-Hofherrenried;146;306;2.26;148.4;9.19;30.4;155;1.6;7.13;75.6;12.2;0.00025;0;3578200;5411550;42;LIAS UND DOGGER (ALBVORLAND);Middle/Lower Jurassic;no_agr;0
110/773-2;GWM  17 Grossholzleute, Isny im Allg?u;95;13;0.59;48.7;1.9;13;8.3;8.5;7.41;4.6;4;0.00025;0;3581220;5283300;6;QUART?R EISZEITL.KIESE+SANDE, MOR?NEN?BERD. (ALPENV);Quaternary AF/MB;no_agr;0
110/815-8;GWM B 4048 LW, Asselfingen;87;13;0.3;52.3;1.3;22;1.4;1.6;7.2;36;5.1;0.0006;0;3589873;5373812;32;(TIEF) MALM (ALPENVORLAND);Upper Jurassic;no_agr;0
1101/255-2;NB F72 Freiheitsplatz, MA-Almenhof;198;91.1;0.66;116.2;9.53;29.8;49.1;2.9;6.93;232;14.5;0.0008;0;3462450;5480498;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
1104/254-6;BR 1 Firma R?ck, MA-Sandhofen;228;60.7;3.71;103.2;2.8;12.4;18.3;0.5;7.03;268;8.8;0.002;0.00007;3461990;5492970;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
111/115-9;GWM 3186 im Garten der alten Schule, Langhurst;89.6;29.5;1.07;50;3.7;9.9;16.9;4.2;7.45;37.9;11.1;0.0039;0;3417163;5371289;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
111/654-6;QF Felsenquelle, Oberbalbach;146;31;0.67;83.5;2.4;22;8;61;7.15;85;10;0.0007;0;3556555;5489260;72;MUSCHELKALK;Middle Triassic;agr;1
1112/259-5;BR 2 St?dtisches Klinkum, KA-Weststadt;108;28;0.89;59.5;4.5;11.5;22.2;7.5;7.22;86.9;10.7;0.0025;0;3454320;5431200;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
1113/254-7;GWM 246 Firma Schmitt, MA-Wohlgelegen;187;102;0.99;117.2;12.5;21.3;51;48;7.14;222;16;0.0011;0;3463578;5484815;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
1115/259-1;BR 1 Eislaufhalle, KA-Neureut;176;33.6;1.2;84.9;4.8;12.9;21.7;11.2;7.04;166;13.9;0.001;0;3455300;5433530;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
1116/512-7;SL F Sickergalerie Weil, Esslingen;160;26;1.1;94.5;3.1;19;17;98;6.93;83;7.2;0.0015;0;3520280;5400270;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
112/065-3;SBR 68A Kirchweg, Neuried-Dundenheim;146.4;27.4;1.55;75.5;6.2;11.3;10.4;66.6;7.09;48.2;11.8;0.0009;0.00005;3412685;5368350;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
112/303-9;GWM Sporthalle, Laudenbach;160;13.6;2.7;72.6;2.68;11.6;8.9;0.5;6.88;53;6.8;0.0092;0;3474020;5497280;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
112/812-0;GWM 8003 Fleinheimer Tal an der L 1181 , Dischingen;138;31;1.2;66.9;0.9;2.9;17;24;6.98;12;5.5;0.00025;0;3598145;5397305;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;no_agr;0
1124/308-6;TB 4 WV, Karlsdorf Neuthard;90.9;39.9;1.6;62;2.9;18.4;40;0.5;7.22;8.4;18.4;0.00025;0;3465613;5444145;23;(TIEF) TERTI?R PLIOZ?N (OBERRHEINGRABEN);Tertiary URG;no_agr;0
1126/304-6;BR Firma Klingol-Chemie, Weinheim;139;36.7;1;76.4;2;13.2;13.5;25.7;7.17;77.4;9.1;0.0014;0;3475470;5488610;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
1126/305-9;GWM 4 Firma Kluthe III, HD-Wieblingen;122;56.4;0.56;75.1;4.67;18;30.7;23.7;7.23;107;7.1;0.0007;0;3473788;5477350;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
113/021-0;TB 2 ZV Weilertal, Auggen;133;24.8;0.4;67.7;5.2;21.7;11.9;34.3;7.05;83.8;8.5;0.0014;0;3394200;5297290;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
113/074-3;GWM 1084 ST. Josefsanstalt Herten, Rheinfelden;151;22.5;0.7;81.5;1.5;27.4;8.2;61.6;7.06;89.9;9.2;0.002;0.00006;3404563;5268724;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;agr;1
113/115-8;GWM 3522, Spitalhof, Offenburg;109;28.3;3.42;58.7;10.3;22.6;17.1;16;6.43;42.4;11;0.012;0;3419920;5371170;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
113/210-4;GWM 3536, Au am Rhein;93.5;43.3;0.65;65;3.2;9.6;23.4;1.2;7.1;30.8;8.7;0.0015;0;3442866;5423805;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
113/422-1;QF 1-4 Frauenwiesquellen, B?hringen;105.7;24.3;0.8;66.2;1.5;30.5;10.1;19.9;7.23;38;15;0.0035;0;3494160;5290950;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;agr;1
113/670-1;GWM 21 Buch, Eberhardzell;118.8;14.4;0.5;64.7;1.2;20.8;6.2;43.4;7.14;18.4;10.5;0.001;0;3559440;5313830;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
1131/511-0;GWM 3 Schillerplatz, Ludwigsburg;195.7;227;1.27;144.3;7.6;42.9;72.8;25.6;7.18;129;8.6;0.0008;0;3513892;5417449;71;LETTENKEUPER;Lettenkeuper;no_agr;0
1135/308-8;BR MÅhlacker, Graben-Neudorf;132;42.7;1.38;76.1;4.66;22.8;17.5;8.4;7.16;122;7.1;0.0057;0;3463710;5449920;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
114/023-2;GWM 1374 Efringen-Kirchen;144;45.8;0.9;76.6;5;18.5;13;36.1;6.9;42.4;11.4;0.0013;0.00003;3391560;5279990;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
114/411-0;QF Dettisee 1-3, Leonberg;130.5;53.4;1.8;87.2;1.19;41.1;21.1;42.2;7.33;37.5;6.4;0.0008;0;3498240;5407450;71;LETTENKEUPER;Lettenkeuper;agr;1
